filename,solc_version,exit_status,duration_s,reentrancy,overflow,timestamp,tod
39583.sol,N/A,TN,1.47,-1,-1,0,-1
39631.sol,N/A,TN,1.57,-1,-1,0,-1
39644.sol,N/A,N/A,2.45,1,-1,-1,-1
39664.sol,N/A,FP,1.5,1,-1,-1,-1
39684.sol,N/A,N/A,1.94,1,-1,-1,-1
39705.sol,N/A,N/A,1.49,1,-1,-1,-1
39715.sol,N/A,FN,1.23,-1,-1,0,-1
39749.sol,N/A,FP,1.52,1,-1,-1,-1
39750.sol,N/A,FP,1.6,1,-1,-1,-1
39777.sol,N/A,FP,1.71,1,-1,-1,-1
39778.sol,N/A,N/A,1.28,1,-1,-1,-1
39817.sol,N/A,N/A,1.62,1,-1,-1,-1
39845.sol,N/A,TN,1.64,-1,-1,0,-1
39866.sol,N/A,N/A,1.25,1,-1,-1,-1
39867.sol,N/A,FP,1.64,1,-1,-1,-1
39912.sol,N/A,TN,1.38,0,-1,-1,-1
39934.sol,N/A,FP,1.61,1,-1,-1,-1
4.sol,N/A,N/A,1.16,0,-1,-1,-1
400.sol,N/A,FN,1.26,-1,-1,0,-1
40005.sol,N/A,FN,1.21,-1,-1,0,-1
40059.sol,N/A,FN,1.17,-1,-1,0,-1
40089.sol,N/A,N/A,1.7,1,-1,-1,-1
40090.sol,N/A,TN,1.56,0,-1,-1,-1
40092.sol,N/A,N/A,1.18,1,-1,-1,-1
40154.sol,N/A,TN,1.48,-1,-1,0,-1
40155.sol,N/A,TN,1.52,-1,-1,0,-1
40203.sol,N/A,TN,1.48,0,-1,-1,-1
40239.sol,N/A,FN,1.25,-1,-1,0,-1
40242.sol,N/A,FP,1.47,1,-1,-1,-1
40249.sol,N/A,N/A,1.15,1,-1,-1,-1
40252.sol,N/A,TN,1.58,-1,-1,0,-1
40299.sol,N/A,FP,1.45,1,-1,-1,-1
40336.sol,N/A,N/A,1.25,1,-1,-1,-1
40340.sol,N/A,N/A,1.27,1,-1,-1,-1
40342.sol,N/A,FP,1.34,1,-1,-1,-1
40353.sol,N/A,N/A,1.22,1,-1,-1,-1
40357.sol,N/A,FP,1.35,1,-1,-1,-1
40366.sol,N/A,N/A,2.22,0,-1,-1,-1
40413.sol,N/A,N/A,2.07,1,-1,-1,-1
40415.sol,N/A,N/A,1.23,1,-1,-1,-1
40419.sol,N/A,TN,1.58,-1,-1,0,-1
40425.sol,N/A,N/A,1.49,1,-1,-1,-1
40451.sol,N/A,FN,1.34,-1,-1,0,-1
40497.sol,N/A,TN,1.59,-1,-1,0,-1
40499.sol,N/A,N/A,1.22,0,-1,-1,-1
40500.sol,N/A,N/A,1.41,1,-1,-1,-1
40535.sol,N/A,TN,1.46,-1,-1,0,-1
40539.sol,N/A,TN,1.53,-1,-1,0,-1
40587.sol,N/A,TN,1.47,-1,-1,0,-1
40611.sol,N/A,FN,1.33,-1,-1,0,-1
40665.sol,N/A,TN,1.51,-1,-1,0,-1
40720.sol,N/A,TN,1.35,0,-1,-1,-1
40726.sol,N/A,FN,1.22,-1,-1,0,-1
40727.sol,N/A,FN,1.29,-1,-1,0,-1
40732.sol,N/A,N/A,2.38,1,-1,-1,-1
40733.sol,N/A,FN,1.19,1,-1,0,-1
40734.sol,N/A,FP,1.42,1,-1,-1,-1
40735.sol,N/A,TN,1.42,1,-1,0,-1
40736.sol,N/A,FN,1.23,1,-1,0,-1
40737.sol,N/A,TN,1.6,1,-1,0,-1
40738.sol,N/A,FN,1.25,-1,-1,0,-1
40739.sol,N/A,TN,1.56,-1,-1,0,-1
40740.sol,N/A,TN,1.58,-1,-1,0,-1
40741.sol,N/A,TN,1.55,1,-1,0,-1
40742.sol,N/A,TN,1.54,1,-1,0,-1
40743.sol,N/A,TN,1.57,-1,-1,0,-1
40744.sol,N/A,FP,1.5,-1,-1,1,-1
40745.sol,N/A,TP,1.17,1,-1,1,-1
40746.sol,N/A,FN,1.17,1,-1,0,-1
40747.sol,N/A,TN,1.45,1,-1,0,-1
40748.sol,N/A,FN,1.17,0,-1,0,-1
