filename,vulnerability,ground_truth,osiris_flagged,solc_version,exit_code,status,duration_s
50036.sol,overflow,1,1,0.4.21,0,TP,0.33
50062.sol,overflow,1,0,0.4.21,0,FN,0.24
50219.sol,overflow,1,0,0.4.21,0,FN,0.25
50799.sol,overflow,1,0,0.4.21,0,FN,0.26
5142.sol,overflow,1,1,0.4.21,0,TP,0.35
595.sol,overflow,1,1,0.4.21,0,TP,0.34
6272.sol,overflow,1,1,0.4.21,0,TP,0.32
6603.sol,overflow,1,1,0.4.21,0,TP,0.87
6606.sol,overflow,1,0,0.4.21,0,FN,0.25
711.sol,overflow,1,1,0.4.21,0,TP,0.37
7134.sol,overflow,1,0,0.4.21,0,FN,0.24
7593.sol,overflow,1,0,0.4.21,0,FN,4.76
8606.sol,overflow,1,0,0.4.21,0,FN,0.28
9208.sol,overflow,1,1,0.4.21,0,TP,15.41
9230.sol,overflow,1,1,0.4.21,0,TP,0.3
948.sol,overflow,1,1,0.4.21,0,TP,0.26
9850.sol,overflow,1,1,0.4.21,0,TP,0.29
1015.sol,timestamp,0,0,0.4.21,0,TN,50.97
10233.sol,timestamp,0,1,0.4.21,0,FP,0.38
10342.sol,timestamp,0,0,0.4.21,0,TN,0.28
10547.sol,timestamp,0,0,0.4.21,0,TN,0.26
10855.sol,timestamp,0,0,0.4.21,0,TN,0.26
11159.sol,timestamp,0,0,0.4.21,0,TN,0.25
11323.sol,timestamp,0,0,0.4.21,0,TN,0.25
11330.sol,timestamp,0,0,0.4.21,0,TN,0.25
11346.sol,timestamp,0,0,0.4.21,0,TN,50.45
11798.sol,timestamp,0,0,0.4.21,0,TN,0.46
1181.sol,timestamp,0,0,0.4.21,0,TN,0.25
11964.sol,timestamp,0,0,0.4.21,0,TN,0.29
12044.sol,timestamp,0,0,0.4.21,0,TN,0.29
12115.sol,timestamp,0,0,0.4.21,0,COMPILE_ERROR,0.15
124.sol,timestamp,0,0,0.4.21,0,TN,0.26
1246.sol,timestamp,0,0,0.4.21,0,TN,0.24
12460.sol,timestamp,0,0,0.4.21,0,TN,0.23
1256.sol,timestamp,0,0,0.4.21,0,TN,0.86
12688.sol,timestamp,0,0,0.4.21,0,TN,0.29
12689.sol,timestamp,0,0,0.4.21,0,TN,0.27
12715.sol,timestamp,0,0,0.4.21,0,TN,0.27
12856.sol,timestamp,0,0,0.4.21,0,TN,0.27
13069.sol,timestamp,0,0,0.4.21,0,TN,0.29
1313.sol,timestamp,0,0,0.4.21,0,TN,0.32
13283.sol,timestamp,0,0,0.4.21,0,TN,39.01
134.sol,timestamp,0,0,0.4.21,0,TN,0.24
135.sol,timestamp,0,0,0.4.21,0,TN,0.26
136.sol,timestamp,0,0,0.4.21,0,TN,0.32
13657.sol,timestamp,0,0,0.4.21,0,TN,0.29
137.sol,timestamp,0,0,0.4.21,0,TN,0.32
14351.sol,timestamp,0,0,0.4.21,0,TN,0.27
14381.sol,timestamp,0,0,0.4.21,0,TN,0.26
14439.sol,timestamp,0,0,0.4.21,0,TN,0.33
14634.sol,timestamp,0,0,0.4.21,0,TN,0.26
14997.sol,timestamp,0,0,0.4.21,0,TN,0.47
15.sol,timestamp,0,0,0.4.21,0,TN,0.25
15566.sol,timestamp,0,0,0.4.21,0,TN,5.43
15671.sol,timestamp,0,1,0.4.21,0,FP,0.26
15822.sol,timestamp,0,0,0.4.21,0,TN,29.1
16018.sol,timestamp,0,0,0.4.21,0,TN,0.41
1631.sol,timestamp,0,0,0.4.21,0,TN,0.27
16521.sol,timestamp,0,0,0.4.21,0,TN,0.25
1667.sol,timestamp,0,0,0.4.21,0,TN,0.27
1668.sol,timestamp,0,0,0.4.21,0,TN,0.25
16957.sol,timestamp,0,0,0.4.21,0,TN,0.3
176.sol,timestamp,0,0,0.4.21,0,TN,0.25
177.sol,timestamp,0,0,0.4.21,0,TN,0.36
17806.sol,timestamp,0,0,0.4.21,0,TN,0.42
17816.sol,timestamp,0,0,0.4.21,0,TN,0.26
1824.sol,timestamp,0,0,0.4.21,0,TN,0.28
1825.sol,timestamp,0,0,0.4.21,0,TN,0.27
1851.sol,timestamp,0,0,0.4.21,0,TN,0.26
19294.sol,timestamp,0,0,0.4.21,0,TN,0.26
19692.sol,timestamp,0,0,0.4.21,0,TN,0.25
20888.sol,timestamp,0,0,0.4.21,0,TN,0.24
20930.sol,timestamp,0,0,0.4.21,0,TN,0.3
21162.sol,timestamp,0,0,0.4.21,0,TN,0.27
22155.sol,timestamp,0,1,0.4.21,0,FP,0.32
22256.sol,timestamp,0,0,0.4.21,0,TN,0.28
22272.sol,timestamp,0,0,0.4.21,0,TN,0.3
22734.sol,timestamp,0,0,0.4.21,0,TN,0.34
2397.sol,timestamp,0,0,0.4.21,0,TN,0.26
28101.sol,timestamp,0,0,0.4.21,0,TN,0.34
29084.sol,timestamp,0,0,0.4.21,0,TN,0.27
29409.sol,timestamp,0,0,0.4.21,0,TN,0.38
30343.sol,timestamp,0,1,0.4.21,0,FP,0.3
30507.sol,timestamp,0,0,0.4.21,0,TN,0.26
30813.sol,timestamp,0,1,0.4.21,0,FP,0.3
30815.sol,timestamp,0,0,0.4.21,0,TN,0.26
